NAIVE BAYES;DECISION TREE;SVM;LOGISTIC REGRESSION;MLP
0.92;0.89;0.7;0.905;0.93
0.9033333333333334;0.8233333333333333;0.6433333333333333;0.8866666666666668;0.9166666666666667
0.98;0.88;0.9;0.98;0.98
0.003410959243774414;0.0043646287918090824;0.012646684646606446;0.01469013214111328;0.5028971338272095
