,NAIVE BAYES,DECISION TREE,SVM,LOGISTIC REGRESSION,MLP
accuracies,0.875,0.85,0.6562,0.8688,0.875
precisions,0.8503,0.8079,0.5641,0.8351,0.8424
recalls,0.9625,0.825,0.875,0.975,0.975
train_times,0.0076,0.0085,0.0256,0.0241,1.1322
