,NAIVE BAYES,DECISION TREE,SVM,LOGISTIC REGRESSION,MLP
accuracies,0.92,0.9,0.7,0.905,0.92
precisions,0.903333,0.83,0.643333,0.886667,0.906667
recalls,0.98,0.88,0.9,0.98,0.98
train_times,0.003094,0.004103,0.011204,0.013091,0.45077
