,NAIVE BAYES,DECISION TREE,SVM,LOGISTIC REGRESSION,MLP
accuracies,0.925,0.8958,0.9292,0.9208,0.9333
precisions,0.9139,0.8444,0.8861,0.9111,0.9139
recalls,0.9833,0.9,0.9167,0.9833,0.9667
train_times,0.0073,0.0091,0.0141,0.0883,1.0494
