,NAIVE BAYES,DECISION TREE,SVM,LOGISTIC REGRESSION,MLP
accuracies,0.925,0.9042,0.7,0.9167,0.925
precisions,0.9139,0.8528,0.6583,0.9056,0.9139
recalls,0.9833,0.9,0.9167,0.9833,0.9833
train_times,0.0087,0.0099,0.0368,0.0368,1.1897
